Console,Type,Company,Year_Released,Units_Sold,Ref,Concole
PlayStation 2,Home,Sony,2000,>155 million,[note 1],PlayStation 2
Nintendo DS,Handheld,Nintendo,2004,154.02 million,[20],Nintendo DS
Nintendo Switch #,Handheld,Nintendo,2017,143.42 million,[20][note 2],Nintendo Switch #
Game Boy & Game Boy Color,Handheld,Nintendo,1989,118.69 million,[20][note 3],Game Boy & Game Boy Color
PlayStation 4,Home,Sony,2013,117.2 million,[36],PlayStation 4
PlayStation,Home,Sony,1994,102.49 million,[37],PlayStation
Wii,Home,Nintendo,2006,101.63 million,[20],Wii
PlayStation 3,Home,Sony,2006,>87.4 million,[note 1],PlayStation 3
Xbox 360,Home,Microsoft,2005,>84 million,[note 4],Xbox 360
Game Boy Advance,Handheld,Nintendo,2001,81.51 million,[20],Game Boy Advance
PlayStation Portable,Handheld,Sony,2004,80–82 million (estimate),[note 1],PlayStation Portable
Nintendo 3DS,Handheld,Nintendo,2011,75.94 million,[20],Nintendo 3DS
Family Computer/Nintendo Entertainment System,Home,Nintendo,1983,61.91 million,[20],Family Computer/Nintendo Entertainment System
Playstation 5,Home,Sony,2020,61.7 million,[45],Playstation 5
Xbox One,Home,Microsoft,2013,~58 million,[46],Xbox One
Super Famicom/Super Nintendo Entertainment System,Home,Nintendo,1990,49.1 million,[20],Super Famicom/Super Nintendo Entertainment System
Nintendo 64,Home,Nintendo,1996,32.93 million,[20],Nintendo 64
Mega Drive/Genesis,Home,Sega,1988,30.75 million,[note 5],Mega Drive/Genesis
Atari 2600,Home,Atari,1977,30 million,[50],Atari 2600
Xbox Series X/S #,Home,Microsoft,2020,28.3 million,[51],Xbox Series X/S #
Xbox,Home,Microsoft,2001,24 million,[52],Xbox
Nintendo GameCube,Home,Nintendo,2001,21.74 million,[20],Nintendo GameCube
Quest 2 #,VR headset,Reality Labs / Meta,2020,~20 million,[53],Quest 2 #
Wii U,Home,Nintendo,2012,13.56 million,[20],Wii U
PlayStation Vita,Handheld,Sony,2011,10–15 million (estimate),[note 1],PlayStation Vita
Master System,Home,Sega,1986,10–13 million,[note 6],Master System
V.Smile & V.Motion,Home,VTech,2004,11 million,[59],V.Smile & V.Motion
Game Gear,Handheld,Sega,1990,10.62 million,[47],Game Gear
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 7],1987,10 million,[61],PC Engine/TurboGrafx-16
Sega Saturn,Home,Sega,1994,9.26 million,[48],Sega Saturn
Dreamcast,Home,Sega,1998,9.13 million,[48][62][63][64],Dreamcast
Master System (Brazilian variants),Home,Tectoy,1989,8 million,[65],Master System (Brazilian variants)
Dendy (famiclone),Home,Micro Genius,1992,6 million,[66],Dendy (famiclone)
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28 million,[67],Super NES Classic Edition
Advanced Pico Beena,Home,Sega,2005,>4.1 million,[68],Advanced Pico Beena
NES Classic Edition,Dedicated,Nintendo,2016,3.56 million,[69][70],NES Classic Edition
WonderSwan & WonderSwan Color,Handheld,Bandai,1999,3.5 million,[note 8],WonderSwan & WonderSwan Color
Sega Pico,Home,Sega,1993,>3.4 million,[note 9],Sega Pico
Color TV-Game,Dedicated,Nintendo,1977,3 million,[79][80],Color TV-Game
Intellivision,Home,Mattel,1980,3 million,[81],Intellivision
Mega Drive (Brazilian variants),Home,Tectoy,1990,3 million,[82][83],Mega Drive (Brazilian variants)
N-Gage,Handheld,Nokia,2003,3 million,[84],N-Gage
ColecoVision,Home,Coleco,1982,>2 million,[note 10],ColecoVision
3DO Interactive Multiplayer,Home,The 3DO Company,1993,>2 million,[88],3DO Interactive Multiplayer
Neo Geo Pocket & Neo Geo Pocket Color,Handheld,SNK,1998,2 million,[89],Neo Geo Pocket & Neo Geo Pocket Color
Magnavox Odyssey²,Home,Magnavox/Philips,1978,2 million,[90],Magnavox Odyssey²
Sega SG-1000,Home,Sega,1983,2 million,[91][92],Sega SG-1000
Oculus Go,VR headset,Oculus,2018,2 million (estimate),[93],Oculus Go
Atari 7800,Home,Atari,1986,>1 million,[note 11],Atari 7800
Atari Lynx,Handheld,Atari,1989,>1 million,[note 12],Atari Lynx
Philips CD-i,Home,Philips,1990,>1 million,[note 13],Philips CD-i
Telstar,Dedicated,Coleco,1976,>1 million,[99][note 14],Telstar
Atari 5200,Home,Atari,1982,1 million,[101],Atari 5200
Pegasus (famiclone),Home,Micro Genius,1991,1 million,[102],Pegasus (famiclone)
