Rank,Title,Platform,Year,Sales,Ref
1,Wii Sports,Wii,2006,82900000,[1]
2,PUBG,PC,2017,67900000,[2]
3,Mario Kart 8 Deluxe,Switch,2017,52000000,[3]
4,Pokémon Red / Green / Blue / Yellow,Game Boy,1996,45690000,[4]
5,Wii Fit,Wii,2007,43800000,[5]
6,Animal Crossing: New Horizons,Switch,2020,42210000,[3]
7,Super Mario Bros.,NES,1985,40240000,[6]
8,Mario Kart Wii,Wii,2008,37380000,[7]
9,Tetris,Game Boy,1989,35000000,[8]
10,Wii Sports Resort,Wii,2009,33140000,[7]
11,Minecraft,PC,2009,33010000,[9]
12,Super Smash Bros. Ultimate,Switch,2018,31090000,[3]
13,New Super Mario Bros. Wii,Wii,2009,30320000,[7]
14,Pokemon Gold / Silver / Crystal,GBC,1999,30120000,[4]
15,Pac-Man,BREW,2005,30000000,[10]
16,The Legend of Zelda: Breath of the Wild,Switch,2017,29810000,[3]
17,Grand Theft Auto V,PS3,2013,29520000,[11]
18,Duck Hunt,NES,1984,28300000,[12]
19,Wii Play,Wii,2006,28020000,[7]
20,Pokémon Sword / Shield,Switch,2019,25820000,[3]
21,Super Mario Odyssey,Switch,2017,25760000,[3]
22,Pokémon Sun / Moon,3DS,2016,25450000,[4]
23,Pokémon Diamond / Pearl / Platinum,DS,2006,25270000,[4]
24,Grand Theft Auto V,PS4,2013,24660000,[11]
25,Kinect Adventures,X360,2010,24000000,[13]
26,Nintendogs,DS,2005,23960000,[14]
27,Mario Kart DS,DS,2005,23600000,[14]
28,Pokémon Ruby / Sapphire / Emerald,GBA,2002,23280000,[4]
29,Grand Theft Auto V,PS3,2013,22950000,[11]
30,Sonic Dash,iOS,2013,22600000,[15]
31,Sonic the Hedgehog,Mega Drive,1991,22480000,[15]
32,Pokémon Scarlet / Violet,Switch,2022,22100000,[3]
33,Super Mario World,SNES,1990,20610000,[6]
34,Spider-Man,PS4,2018,20000000,[16]
35,Brain Age,DS,2005,19010000,[17]
36,Sonic & Sega All-Stars Racing,iOS,2011,16750000,[15]
37,Angry Birds,iOS,2009,10000000,[18]
38,Hitman: Sniper,Android,2015,10000000,[19]
39,Stickman Legends Offline Games,Android,2017,10000000,[20]
40,Shadow of Death: Dark Knight,Android,2019,10000000,[21]
41,Sonic Jump,iOS,2013,8800000,[22]
